title,rating
Bowling for Columbine (2002),8.0
It's a Wonderful Life (1946),8.6
Twelve Monkeys (1995),8.0
Mommy (2014),8.0
Shutter Island (2010),8.2
O legendă vie (2007),8.6
La Strada (1954),8.0
The Avengers (2012),8.0
Anatomy of a Murder (1959),8.0
CODA (2021),8.0
Casino (1995),8.2
Das Boot (1981),8.4
Scent of a Woman (1992),8.0
Persepolis (2007),8.0
Star Wars: Episode V - The Empire Strikes Back (1980),8.7
Viskningar och rop (1972),8.0
The Great Dictator (1940),8.4
Exploratorul (2013),8.0
Beauty and the Beast (1991),8.0
8½ (1963),8.0
Gran Torino (2008),8.1
Room (2015),8.1
Aliyah DaDa (2015),8.0
Big Fish (2003),8.0
V for Vendetta (2005),8.2
Dead Poets Society (1989),8.1
Mary and Max (2009),8.1
Filantropica (2002),8.4
Restul e tăcere (2008),8.1
Mononoke-hime (1997),8.4
Cuibul de viespi (1987),8.4
A Patch of Blue (1965),8.0
Secrets & Lies (1996),8.0
Back to the Future (1985),8.5
Uj Eldorado (2007),8.2
12 Angry Men (1957),9.0
Trainspotting (1996),8.1
Afacerea Tănase (2013),8.0
Golden Age (2007),8.2
Cool Hand Luke (1967),8.1
Star Wars: Episode VI - Return of the Jedi (1983),8.3
Aladdin (1992),8.0
Sin City (2005),8.0
Hearts and Minds (1974),8.2
Snatch. (2000),8.3
Kill Bill: Vol. 1 (2003),8.2
Conu Leonida fata cu reactiunea (2001),8.5
Casino Royale (2006),8.0
Double Indemnity (1944),8.3
Cold Waves - Război pe calea undelor (2007),8.0
Dogville (2003),8.0
Heat (1995),8.3
Toate pînzele sus! - Secretul epavei (1986),8.5
"Lock, Stock and Two Smoking Barrels (1998)",8.2
Ran (1985),8.2
A Clockwork Orange (1971),8.3
Sunrise: A Song of Two Humans (1927),8.1
La nuit americaine (1973),8.0
Fa yeung nin wa (2000),8.1
Utvandrarna (1971),8.0
Kill Bill: Vol. 2 (2004),8.0
"Crna macka, beli macor (1998)",8.0
Mihai Viteazul (1970),8.5
What Ever Happened to Baby Jane? (1962),8.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.4
Operațiunea Monstrul (1976),8.6
The Red Shoes (1948),8.1
B.D. la munte și la mare (1971),8.6
Brigada Diverse în alertă (1971),8.6
Psycho (1960),8.5
Actorul și sălbaticii (1975),8.6
Taxi Driver (1976),8.2
Brigada Diverse intră în acțiune (1970),8.6
Mickey's Christmas Carol (1983),8.0
Captains Courageous (1937),8.0
Infernal Affairs (2002),8.0
Nea Mărin Miliardar (1979),8.3
My Man Godfrey (1936),8.0
Titanic Vals (1965),8.6
Astă seară dansăm în familie (1972),8.3
Anne Frank (2001),8.0
The Big Lebowski (1998),8.1
Inherit the Wind (1960),8.1
O Pagador de Promessas (1962),8.3
The Terminator (1984),8.1
Divorzio all'italiana (1961),8.0
Rear Window (1954),8.5
A zori zdes tikhie (1972),8.1
La dolce vita (1960),8.0
Le chagrin et la pitié (1969),8.2
Un bulgăre de humă (1989),8.0
Nufărul roșu (1955),8.8
Imposibila iubire (1983),8.1
The Lion King (1994),8.5
Asfalt Tango (1995),8.0
Die Hard (1988),8.2
